id,name,address,lon,lat,map_osm,map_google,ground_truth_lon,ground_truth_lat,label
08f2aa8cec01998c0365c3d8f1a13a5a,Sonesta Simply Suites Baltimore BWI Airport,,-76.6884045,39.2040616,https://www.openstreetmap.org/?mlat=39.2040616&mlon=-76.6884045&zoom=17,"https://www.google.com/maps/search/?api=1&query=39.2040616,-76.6884045",,,
08f44a90e2768c460342e973337bbdce,Starbucks,,-81.3099603,28.5757891,https://www.openstreetmap.org/?mlat=28.5757891&mlon=-81.3099603&zoom=17,"https://www.google.com/maps/search/?api=1&query=28.5757891,-81.3099603",,,
08f27590562abb060368291b80cf9231,Precision Powder Coating,,-88.3082733,42.2439917,https://www.openstreetmap.org/?mlat=42.2439917&mlon=-88.3082733&zoom=17,"https://www.google.com/maps/search/?api=1&query=42.2439917,-88.3082733",,,
08f2600b7608a70003fa3013c0f212ec,Walgreens,,-96.7307438,43.5290492,https://www.openstreetmap.org/?mlat=43.5290492&mlon=-96.7307438&zoom=17,"https://www.google.com/maps/search/?api=1&query=43.5290492,-96.7307438",,,
08f26752726d612203878c17fe19afdb,Pleasant Pines Daycare,,-89.8513666,40.6788712,https://www.openstreetmap.org/?mlat=40.6788712&mlon=-89.8513666&zoom=17,"https://www.google.com/maps/search/?api=1&query=40.6788712,-89.8513666",,,
08f29124c8370352039d02ac68aa8e49,Marez Events Center,,-119.1781792,34.1979879,https://www.openstreetmap.org/?mlat=34.1979879&mlon=-119.1781792&zoom=17,"https://www.google.com/maps/search/?api=1&query=34.1979879,-119.1781792",,,
08f266c804ab666d03564dee370407fe,Mesco Manufacturing,,-85.4723357,39.334856,https://www.openstreetmap.org/?mlat=39.334856&mlon=-85.4723357&zoom=17,"https://www.google.com/maps/search/?api=1&query=39.334856,-85.4723357",,,
08f488269c809d62032ad14489ac01fc,Malek Buck Horn Creek Ranch,,-98.2913049,28.8700576,https://www.openstreetmap.org/?mlat=28.8700576&mlon=-98.2913049&zoom=17,"https://www.google.com/maps/search/?api=1&query=28.8700576,-98.2913049",,,
08f29a4c5bd6845e03ce47d467a58886,Bonita Shoe Repair,,-117.0394079,32.6582724,https://www.openstreetmap.org/?mlat=32.6582724&mlon=-117.0394079&zoom=17,"https://www.google.com/maps/search/?api=1&query=32.6582724,-117.0394079",,,
08f2664cce0986e4034293c714ba8610,Holistic Staffers Inc.,,-87.61219,41.74362,https://www.openstreetmap.org/?mlat=41.74362&mlon=-87.61219&zoom=17,"https://www.google.com/maps/search/?api=1&query=41.74362,-87.61219",,,
08f26042533a3455033e728f50a63ee0,Erin Drew Design,,-96.81588,43.98485,https://www.openstreetmap.org/?mlat=43.98485&mlon=-96.81588&zoom=17,"https://www.google.com/maps/search/?api=1&query=43.98485,-96.81588",,,
08f275925c109a30034d4d467c98b6a2,Dunkin',,-88.0069467,41.8399958,https://www.openstreetmap.org/?mlat=41.8399958&mlon=-88.0069467&zoom=17,"https://www.google.com/maps/search/?api=1&query=41.8399958,-88.0069467",,,
08f44a1a8eb4985303d265d917bdd5e8,CVS Beauty,,-80.3772,26.00837,https://www.openstreetmap.org/?mlat=26.00837&mlon=-80.3772&zoom=17,"https://www.google.com/maps/search/?api=1&query=26.00837,-80.3772",,,
08f275d018660c200372cc60bc003adb,Creekside Vintage,,-87.9884503,43.3009436,https://www.openstreetmap.org/?mlat=43.3009436&mlon=-87.9884503&zoom=17,"https://www.google.com/maps/search/?api=1&query=43.3009436,-87.9884503",,,
08f2a8b09c5ad78b03ee40d1c2319ba2,Office Depot Print & Copy,,-79.8814802,36.1130645,https://www.openstreetmap.org/?mlat=36.1130645&mlon=-79.8814802&zoom=17,"https://www.google.com/maps/search/?api=1&query=36.1130645,-79.8814802",,,
08f26421b00082a1039c1d47fba3be0b,Keen Taxidermy | Bourbon MO,,-91.1994379,38.1825268,https://www.openstreetmap.org/?mlat=38.1825268&mlon=-91.1994379&zoom=17,"https://www.google.com/maps/search/?api=1&query=38.1825268,-91.1994379",,,
08f26c820b29a90603e92ad23d25e4ee,Raising Cane's,,-96.449427,32.91042,https://www.openstreetmap.org/?mlat=32.91042&mlon=-96.449427&zoom=17,"https://www.google.com/maps/search/?api=1&query=32.91042,-96.449427",,,
08f264dc60d0bda5037015258df22703,Dollar General,,-86.8664037,36.3188478,https://www.openstreetmap.org/?mlat=36.3188478&mlon=-86.8664037&zoom=17,"https://www.google.com/maps/search/?api=1&query=36.3188478,-86.8664037",,,
08f2aa8c1126bb920308290be9c43fb7,Haribo of America,,-76.736693,39.318795,https://www.openstreetmap.org/?mlat=39.318795&mlon=-76.736693&zoom=17,"https://www.google.com/maps/search/?api=1&query=39.318795,-76.736693",,,
08f441ac5d08b29003b5a1be905ffcb7,Staybridge Suites,,-82.3370274,27.9784639,https://www.openstreetmap.org/?mlat=27.9784639&mlon=-82.3370274&zoom=17,"https://www.google.com/maps/search/?api=1&query=27.9784639,-82.3370274",,,
08f275b7ab843aeb03dd660d36bb0f4d,Dollar General,,-90.1833793,41.8723159,https://www.openstreetmap.org/?mlat=41.8723159&mlon=-90.1833793&zoom=17,"https://www.google.com/maps/search/?api=1&query=41.8723159,-90.1833793",,,
08f4450863054ca903b8e9e16e72be6c,Little People Learning Center,,-88.5386975,30.4048794,https://www.openstreetmap.org/?mlat=30.4048794&mlon=-88.5386975&zoom=17,"https://www.google.com/maps/search/?api=1&query=30.4048794,-88.5386975",,,
08f2aa8c2c91654c0307f9ec74d32578,Nicole Matthews Daycare,,-76.5904581,39.3459773,https://www.openstreetmap.org/?mlat=39.3459773&mlon=-76.5904581&zoom=17,"https://www.google.com/maps/search/?api=1&query=39.3459773,-76.5904581",,,
08f2aaab323a5618032cde18a156c235,Mr. Wish Herndon,,-77.4008504,38.9619018,https://www.openstreetmap.org/?mlat=38.9619018&mlon=-77.4008504&zoom=17,"https://www.google.com/maps/search/?api=1&query=38.9619018,-77.4008504",,,
08f27592230294de03a50049e2aebfe3,Uncle Bill's Diner,,-88.0796822,41.9990189,https://www.openstreetmap.org/?mlat=41.9990189&mlon=-88.0796822&zoom=17,"https://www.google.com/maps/search/?api=1&query=41.9990189,-88.0796822",,,
08f2ab320a85e12203cd386804c83cd7,Orrville Cycling and Fitness,,-81.8029597,40.8445198,https://www.openstreetmap.org/?mlat=40.8445198&mlon=-81.8029597&zoom=17,"https://www.google.com/maps/search/?api=1&query=40.8445198,-81.8029597",,,
08f283009a04d36a03200214f7b0f6d3,Eagle Eye Engraving,,-121.9877324,38.3547523,https://www.openstreetmap.org/?mlat=38.3547523&mlon=-121.9877324&zoom=17,"https://www.google.com/maps/search/?api=1&query=38.3547523,-121.9877324",,,
08f44a915804d94203b95990ac6c3a98,Poolside At The Hard Rock Hotel,,-81.4646757,28.4765848,https://www.openstreetmap.org/?mlat=28.4765848&mlon=-81.4646757&zoom=17,"https://www.google.com/maps/search/?api=1&query=28.4765848,-81.4646757",,,
08f44a900b34540003667590b4b98139,Neighborhood Rogue,,-81.368282,28.544091,https://www.openstreetmap.org/?mlat=28.544091&mlon=-81.368282&zoom=17,"https://www.google.com/maps/search/?api=1&query=28.544091,-81.368282",,,
